Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Normalized_Release_Date
,26403,3080493,3700000,3-Nov-06,Not Rated,IFC Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,39,6.6,11986,03-11-2006
"10,000 B.C.",94784201,269065678,105000000,7-Mar-08,PG-13,Warner Bros.,Original Screenplay,Adventure,Historical Fiction,Roland Emmerich,9,5.8,134,07-03-2008
102 Dalmatians,66941559,66941559,85000000,22-Nov-00,G,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Kevin Lima,30,4.4,7147,22-11-2000
10th & Wolf,54702,54702,8000000,18-Aug-06,Not Rated,ThinkFilm,Based on Real Life Events,Drama,Dramatization,Robert Moresco,19,6.3,3655,18-08-2006
11:14,0,0,6000000,12-Aug-05,R,,,,,,0,7.3,18261,12-08-2005
12 Angry Men,0,0,340000,13-Apr-57,,United Artists,Original Screenplay,Drama,,Sidney Lumet,0,8.9,119101,13-04-1957
12 Rounds,12234694,18184083,20000000,27-Mar-09,PG-13,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,28,5.4,8914,27-03-2009
13 Going On 30,57139723,96439723,30000000,23-Apr-04,PG-13,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Gary Winick,0,6.1,32634,23-04-2004
1408,71985628,128529299,22500000,22-Jun-07,PG-13,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,78,6.9,72913,22-06-2007
15 Minutes,24375436,56331864,42000000,9-Mar-01,R,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,32,6.1,25566,09-03-2001
16 Blocks,36895141,65595141,45000000,3-Mar-06,PG-13,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,55,6.7,41207,03-03-2006
16 to Life,10744,10744,1000000,3-Sep-10,,Waterdog Films,Original Screenplay,Romantic Comedy,Contemporary Fiction,,0,0.0,0,03-09-2010
1776,0,0,4000000,9-Nov-72,PG,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57,7.0,4099,09-11-1972
1941,34175000,94875000,32000000,14-Dec-79,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364,14-12-1979
2 Fast 2 Furious,127120058,236220058,76000000,6-Jun-03,PG-13,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36,5.1,44151,06-06-2003
2 For the Money,22991379,27848418,20000000,7-Oct-05,R,Universal,Original Screenplay,Drama,Contemporary Fiction,D.J. Caruso,0,0.0,0,07-10-2005
20 Dates,541636,541636,66000,26-Feb-99,R,Fox Searchlight,Original Screenplay,Comedy,,,0,4.9,1423,26-02-1999
"20,000 Leagues Under the Sea",28200000,28200000,5000000,23-Dec-54,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92,0.0,0,23-12-1954
200 Cigarettes,6852450,6852450,6000000,26-Feb-99,R,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,30,5.4,8645,26-02-1999
2001: A Space Odyssey,56700000,68700000,10500000,2-Apr-68,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96,8.4,160342,02-04-1968
2012,166112167,766812167,200000000,13-Nov-09,PG-13,Sony Pictures,Original Screenplay,Action,Science Fiction,Roland Emmerich,39,6.2,396,13-11-2009
2046,1442338,19202856,12000000,5-Aug-05,R,Sony Pictures Classics,Original Screenplay,Drama,Science Fiction,Wong Kar-wai,0,7.5,19431,05-08-2005
21,81159365,157852532,35000000,21-Mar-08,PG-13,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Robert Luketic,35,6.7,60918,21-03-2008
21 Grams,16248701,60448701,20000000,21-Nov-03,R,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,81,7.9,77910,21-11-2003
24 7: Twenty Four Seven,72544,72544,2000000,15-Apr-98,R,October Films,Original Screenplay,Comedy,,Shane Meadows,0,6.9,1417,15-04-1998
25th Hour,13084595,23928503,4500000,19-Dec-02,R,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Spike Lee,78,7.9,58781,19-12-2002
